No.,単語,意味
19,インスペクション,インスペクションとは、調査、検査、視察、査察などの意味を持つ英単語。ITの分野では、ソフトウェア開発などで不具合が無いか調べたり、ネットワーク機器などが外部からの侵入などが無いか流通するデータを監視したりすることをインスペクションという。
20,インストール / セットアップ / インスコ,インストールとは、組み込む、導入する、設定する、据え付ける、取り付ける、設置する、などの意味を持つ英単語。コンピュータの分野では、ソフトウェアをコンピュータに導入し、使用可能な状態にする処理や作業のことをインストールという。
21,インジェクション攻撃,インジェクション攻撃とは、ソフトウェアへの攻撃手法の一つで、文字列の入力を受け付けるようなプログラムに対し、セキュリティを無効化するような不正な文字列を混入し、システムを乗っ取ったり秘密のデータを詐取したりする手法。
22,アルゴリズム,アルゴリズムとは、ある特定の問題を解く手順を、単純な計算や操作の組み合わせとして明確に定義したもの。数学の解法や計算手順なども含まれるが、ITの分野ではコンピュータにプログラムの形で与えて実行させることができるよう定式化された、処理手順の集合のことを指すことが多い。
23,可用性 / アベイラビリティ,可用性とは、システムなどが使用できる状態を維持し続ける能力。利用者などから見て、必要なときに使用可能な状態が継続されている度合いを表したもの。
24,プロキシ / アプリケーション・ゲートウェイ,プロキシとは、企業などの内部ネットワークとインターネットの境界にあり、内部のコンピュータの「代理」(proxy)としてインターネット上のコンピュータへ接続を行うコンピュータのこと。また、そのような機能を持つサーバソフトウェア。
25,アプライアンス,アプライアンスとは、器具、装置、設備、電器、家電製品などの意味を持つ英単語。ITの分野でアプライアンスという場合は、情報機器や通信機器、コンピュータ応用製品のうち、特定の機能や用途に特化した専用機器などのことを表すことが多い。
26,アフィリエイト / 成果報酬型広告 / 成功報酬型広告 / 成果保証型広告,アフィリエイトとは、ネット広告の課金方式の一つで、Webページやメールマガジンなどの広告媒体から広告主のWebサイトなどへリンクを張り、閲覧者がそのリンクを経由して広告主のサイトで会員登録したり商品を購入したりすると、媒体運営者に一定の料率に従って報酬が支払われる方式。
27,アバター,アバターとは、チャットなどのコミュニケーションツールで、自分の分身として画面上に登場するキャラクター。ゲームの主人公キャラクターのことはアバターとは呼ばない。
28,アドミニストレータ / アドミン / システム管理者 / シスアド,アドミニストレータとは、企業の情報システムなどで、コンピュータやネットワーク、システムなどの維持・管理、利用者のサポートなどの業務を行なう担当者。また、そのような管理者がシステム内で使用するアカウント名やユーザーグループ名などを指すこともある。
29,アドホック,アドホックとは、特定の目的のための、その場限りの、取ってつけたような、などの意味を持つラテン語表現。英語など多くの言語で同様の意味の外来語表現として取り込まれている。
30,アドセンス /  Google AdSense / グーグルアドセンス,AdSenseとは、Webサイトの内容に関連のあるWeb広告を自動的に配信し、Webサイト運営者に広告収入を支払うサービス。Google社がWebサイト運営者に対して提供しているサービスである。
31,アドオン,アドオンとは、追加の(もの)、付け足し(たもの)、付加した(もの)、付属の(もの)、加算の(もの)などの意味を持つ英語表現。
32,アップロード,アップロードとは、通信回線やネットワークを通じて、別のコンピュータへデータを送信すること。また、送信したデータを記憶装置上のファイルなどまとまった形で保存させること。中心と末端がはっきり決まっているような形態のネットワークシステムでは、端末から中心側のコンピュータへデータを転送することを(中心側から見た場合にも)アップロードという。これに対し、別のコンピュータへデータを送信することを「ダウンロード」(download)という。
33,アップデート,アップデートとは、更新(する)、改訂(する)、最新の状態にする、という意味の英単語。
34,アジャイル開発,アジャイル開発プロセスとは、ソフトウェアを迅速に、また、状況の変化に対して柔軟に対応できるよう開発する手法の総称。「アジャイル」(agile)とは、俊敏な、しなやかな、素早い、などの意味で、短いプロセスを何度も反復して次第に全体を組み立てていくアプローチの手法が多い。
35,アクティビティ,アクティビティとは、「活動」という意味の英単語。ITの分野では、人間の行動や作業、システムや通信回線の稼動状況、などの意味で用いられることが多い。
36,アクセス解析,アクセス解析とは、Webサイトへのアクセスの記録を分析し、各種の集計データに加工したり、表やグラフなどの形にまとめること。
37,アクセス制御リスト / ACL,ACLとは、OSなどのセキュリティ機能の一つで、ファイルなど何らかの対象への利用者のアクセス権限を列挙したリスト。
38,アクセスログ,アクセスログとは、Webサーバの動作を記録したもの。Webサーバの種類によって内容は異なるが、アクセス元のIPアドレス、アクセス元のドメイン名、アクセスされた日付と時刻、アクセスされたファイル名、リンク元のページのURL、訪問者のWebブラウザ名やOS名、処理にかかった時間、受信バイト数、送信バイト数、サービス状態コードなどである。
39,アクセス制御 / アクセスコントロール,アクセス制御とは、ソフトウェアなどの持つ基本的なセキュリティ機能の一つで、誰が何に対してどのような権限で接触できるかを設定・識別し、それに基づいて、操作や行動を許可したり拒否したりすること。
40,アカウント,アカウントとは、口座、勘定、帳簿、説明(する)、釈明(する)、占める、責任を取る、記述、報告書、顧客、得意先、信用取引などの意味を持つ英単語。ITの分野では、コンピュータやネットワークなどを利用するのに必要な権利のことを「ユーザーアカウント」(user account)あるいは単にアカウントという。
41,アウトラインフォント,アウトラインフォントとは、文字の形をコンピュータ上で表現するフォントデータの形式の一つで、字形を基準となる点の座標や輪郭線を表す曲線のパラメータの集まりとして表現したもの。
42,アーリーアダプター,アーリーアダプターとは、新しい商品やサービス、技術などを比較的早い段階で 購入したり、採用したりする人々の層のこと。 ロジャースの採用者分布曲線 での一つのカテゴリ。
43,アーカイブ / 書庫ファイル,アーカイブとは、保存記録、公文書、公文書館、記録保管所、書庫などの意味を持つ英単語。一般的な意味は、将来に残すために保存された記録物や文書類、また、それらの保管設備・施設などのこと。
44,Winny（ウィニー）,Winnyとは、日本で開発されたファイル交換ソフトの一つ。高い匿名性と、独自のP2P型匿名掲示板システムが特徴。
45,Windows Media Player(ウィンドウズメディアプレーヤー) / WMP,Windows Media Playerとは、Microsoft社が無償で配布している、マルチメディアコンテンツ再生ソフトウェア。動画や音声の再生に使う。
46,Webブラウザ / インターネットブラウザ,Webブラウザとは、Webページを閲覧するためのアプリケーションソフト。利用者の指定したWebページを管理するWebサーバへデータの送信を要求し、送られてきたHTMLファイルや画像ファイルなどを読み込んで指定されたレイアウトで表示する。
47,Webサーバー / HTTPサーバ / WWWサーバ,Webサーバとは、Webシステム上で、利用者側のコンピュータに対しネットワークを通じて情報や機能を提供するコンピュータおよびソフトウェアのこと。そのような機能を果たすサーバコンピュータを指す場合と、コンピュータ上で動作するサーバソフトウェアを指す場合がある。
48,ブログ / Weblog / ウェブログ,ブログとは、個人や数人のグループで運営され、投稿された記事を主に時系列に表示する日記的なWebサイトの総称。“weblog”(ウェブログ)とは “web” と “log”(日誌)を一語に綴った造語で、現在では略して “blog” (ブログ)と呼ばれることが多い。
49,Web2.0,Web 2.0とは、2004年頃から登場し始めた新しい発想に基づくWeb関連の技術や、Webサイト・サービスなどの総称。「2.0」という表現はソフトウェアの大幅なバージョンアップをなぞらえたもので、1990年代半ば頃から普及・発展してきた従来型WWWの延長ではない、質的な変化が起きているという認識を込めたもの。
50,WEB / ワールドワイドウェブ / WWW,Webとは、インターネット上で標準的に用いられている、文書の公開・閲覧システム。文字や画像、動画などを一体化した文書をネット上で公開・配布したり、また、それを入手・閲覧することができる。文書内に別の文書への参照を埋め込むことができる「ハイパーテキスト」と呼ばれるシステムの一種。“web”とは蜘蛛の巣の意味であり、大規模なハイパーテキストの文書間の繋がりを図示すると複雑な蜘蛛の巣のように見えることからこのように呼ばれる。
